review,time
이런 해드폰 하나쯤 있어도 될듯 싶네요. 플레이어에 옵션조절을 잘하면 정말 더 좋습니다. 배송도 엄청 빨라요 ㅋㅋ,2013-07-25
왜 920인지~ 들어보면압니다. 최강 헤드폰이네요 ^^ 싼맛(?)에 듣는 헤드폰이 아닌 제값 이상하는 헤드폰입니다. 공간감최고 중저음 특화지만 고음 해상도도 좋네요. 강추~강추~,2013-08-03
저렴하게 잘 샀네요 제품 외관은 괜찮은 듯 하나 저음이 너무 퍼지네요 좋은 소리는 아니네요..,2013-11-08
선물용이구요 ~ 잘씀니다.... 정말 선물용으로 잘쓰고 잘 전달해드릴꼐요 ~앞으로도 많이 파세요 ~,2014-05-20
배송도 빨랐고… 택배 기사님도 친절하셨고… 물건은 말할것도 없이 맘에드네요! 단하나 포장이… 그흔한 뽁뽁이 하나 안 넣어준것이 흠이라면 흠이겠내요! 별로 중요하지는....,2013-07-20
남편이 갖고 싶은거 선물했어요ㅎㅎ 착한 가격에 음질도 좋아요 디자인도 예쁘구요♡,2013-08-21
명성에 맞게 음질도 좋구요… 특히 베이스가 짱입니다. ㅋㅋㅋ 디자인도 맘에 들구요.. 편합니다.ㅎ...,2013-08-07
가성비 좋네요. 요즘 잘쓰고 있네요 착용감도 좋고요,2013-05-12
배송도 엄청빠르고 무엇보다 상품이 잘와서 만족합니다 . 포장도 깔끔하고요 ~ 여러모로 만족합니다.,2013-08-01
소니만의 디자인..... 음향 … 정말좋아요!!!!!!  강추강추!!!!!!! 소니가 짱입니다...!!!!!,2014-08-06
지금까지 인터넷 구매 품목중에서 가장 맘에드는 배송업체와 상품인거 같습니다 늦은 확정 죄송합니다,2013-06-17
좋네요 기대 이상까진 아니라도 기대한 만큼 효과가 있네요 ㅎㅎ,2013-10-17
빠른배송 감사합니다. 근데 사은품으로 터치펜이랑 아이폰4 케이스 보내주셨는데... 전 갤3 사용자....,2013-10-31
중저음 좋고요. 디자인도 좋고요 만족합니다. 추천~~,2013-05-12
오늘 배송 받았는데..  배송도 빠르고 헤드폰도 간지나고 ㅋㅋㅋ 무엇보다 가격대비 성능이 최곱니다!!  요즘 드레가 유행인데.. 역시 전 소니가 좋더라고요~ㅋㅋㅋ  ? ,2013-12-06
가격 대비에 음질도 좋고 배송상태도 손상없이 배송이 되어서 좋습니다 케이스도 튼튼하고 사은품으로 폰 케이스까지 주셔서 좋아요,2014-02-03
좋아용 너뮤너뮤,2013-06-04
빠른배송 감사합니다 ^^ 그리고 포장상태도 굳굳… 상태도 굳.. 좋아요~~~~~~~~~~~~~~,2013-05-29
소니 이어폰 심플하고 소리도 좋구요 전체적으로 좋아요 배송은 조금 늦음 가격대비 괜찮은 편~~~ㅎ,2014-07-03
소니정품+2년보증] SONY [MDR-XB920 리모트마이크볼륨컨트롤]+소니 MDR 프리미엄파우치/헤드폰/이어폰/헤드셋/MP3/PMP/아이폰5S/아이패드/4/미니/뉴/갤럭시/노트2/S4/옵티머스/G/프로/뷰2/베가/넘버6/스마트폰,2013-04-13
잘샀어요,2014-05-25
잘 받았습니다. 잘 들립니다. 품질도 매우 좋습니다. 잘 받았습니다. 잘 들립니다. 품질도 매우 좋습니다. 잘 받았습니다. 잘 들립니다. 품질도 매우 좋습니다. 잘 받았습니다. 잘 들립니다. 품질도 매우 좋습니다. 잘 받았습니다. 잘 들립니다. 품질도 매우 좋습니다. 잘 받았습니다. 잘 들립니다. 품질도 매우 좋습니다. 잘 받았습니다. 잘 들립니다. 품질도 매우 좋습니다.,2014-02-11
자전거 탈때 쓸려고 산건데 괜찮네요 음질도 좋구요 강추입니다 역시 소니는 실망을 시키지 않네요 푹신 푹신 하고 무지 편합니다 ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,2013-06-13
착용감도 좋고 음질 좋습니다. 추천합니다. 착용감도 좋고 음질 좋습니다. 추천합니다. 착용감도 좋고 음질 좋습니다. 추천합니다.,2014-06-09
귀가 좀 아프지만 들을 만 합니다?,2013-06-14
받아서 듣는데 너무 좋네요 ㅠㅡㅠ 디자인도 괜찮고 ㅠㅠ 받아서 듣는데 너무 좋네요 ㅠㅡㅠ 디자인도 괜찮고 ㅠㅠ 받아서 듣는데 너무 좋네요 ㅠㅡㅠ 디자인도 괜찮고 ㅠㅠ,2013-04-25
싸게 잘 샀어요 감사합니다 많이파세요싸게잘샀어요 감사합니다 많이파세요싸게잘샀어요 감사합니다 많이파세요,2014-07-07
어휴 감사합니다 잘받았구요 ㅋㅋㅋㅋ ㅋㅋㅋㅋ 포장도ㅜ잘되어있네요 ㅋㅋㅋㅋ ㅋㅋㅋㅋ 사업 번창하시구요 ㅋㅋㅋㅋ ㅋㅋㅋㅋ,2014-07-14
들을만해여 저음이 강함 ㅋㅋㅋㅋㅋㅋㅋㅋ 고음은 약한듯 ㅋㅋㅋㅋㅋㅋ 공감각 그럭저럭 하내요 ㅋㅋㅋㅋㅋㅋ 디자인은 이뽀？D ㅋㅋㅋㅋㅋㅋ,2013-10-14
외계인같아요 별로ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ,2014-04-20
빠른 배송 우수한 성능 품질. 모두만족합니다주위 가까운 분들에게 추천해드리고 싶네요성능의 신뢰가 갑니다,2014-09-03
저렴한 가격에 중저음이 묵직한 소리가 잘 나네요. 그러나 제품마감은 그다지 고급스러워 보이지는 않습니다. 그리고 생각보다 헤드밴드의 압박감이 강해서 오래 착용시에는 머리가 좀 아픕니다.,2014-09-11
추천받아서 샀는데 차음성은 70%정도? 음질은 괜찮네요 근데 다들 넘 크다고ㅜㅜ,2014-09-14
사진은 워낙 많이 올라오니 생략하겠습니다. 올라운더라미니멀 테크 프로그래시브 트랩 덥스텝 사우스 이스트 발라드 팝 하드락 메탈 브리티쉬 DNB 클래식 등등... 음악폭이 넓습니다. 다들 아시겠지만 가성비는 왕입니다. 다만...타 메이커에 비해 음표현력이 비교적 좋지 않습니다. 비교적!! 이라는점이 단점이자 장점입니다. 역시 소니답게 베이스 강조를 해주면서도 전체적인 벨런스는 놓치지 않아서 좋습니다. 여러 장르 음악을 들으신다면 추천합니다. 클럽음악 위주시라면 AKG 파이오니아 등 타메이커 알아보시는게 좋을듯하네요,2014-10-06
